label_id	ganglion_id	merged_bilateral_ganglion_id	ganglion_name	ganglion_name_short	gangliaColourScheme
558	19.0		None	None	None
559	8.0	4.0	dorsal ganglion	DG	255-104-60-255
560	19.0		None	None	None
561	19.0		None	None	None
562	19.0		None	None	None
563	19.0		None	None	None
564	10.0	5.0	antennal ganglia	AG	255-138-205-0
565	19.0		None	None	None
566	19.0		None	None	None
569	19.0		None	None	None
570	19.0		None	None	None
571	19.0		None	None	None
572	1.0	1.0	palpal ganglia	PG	255-181-131-84
573	19.0		None	None	None
574	19.0		None	None	None
577	1.0	1.0	palpal ganglia	PG	255-181-131-84
578	19.0		None	None	None
579	19.0		None	None	None
580	19.0		None	None	None
581	1.0	1.0	palpal ganglia	PG	255-181-131-84
582	19.0		None	None	None
583	19.0		None	None	None
584	1.0	1.0	palpal ganglia	PG	255-181-131-84
585	19.0		None	None	None
586	1.0	1.0	palpal ganglia	PG	255-181-131-84
587	19.0		None	None	None
588	1.0	1.0	palpal ganglia	PG	255-181-131-84
589	1.0	1.0	palpal ganglia	PG	255-181-131-84
590	19.0		None	None	None
591	19.0		None	None	None
592	19.0		None	None	None
594	19.0		None	None	None
595	14.0	7.0	frontal ganglion	FG	255-15-187-253
596	9.0	5.0	antennal ganglia	AG	255-138-205-0
597	19.0		None	None	None
598	19.0		None	None	None
601	2.0	1.0	palpal ganglia	PG	255-181-131-84
602	19.0		None	None	None
603	19.0		None	None	None
604	2.0	1.0	palpal ganglia	PG	255-181-131-84
605	19.0		None	None	None
606	2.0	1.0	palpal ganglia	PG	255-181-131-84
607	2.0	1.0	palpal ganglia	PG	255-181-131-84
608	19.0		None	None	None
610	2.0	1.0	palpal ganglia	PG	255-181-131-84
612	19.0		None	None	None
613	14.0	7.0	frontal ganglion	FG	255-15-187-253
614	7.0	4.0	dorsal ganglion	DG	255-104-60-255
615	7.0	4.0	dorsal ganglion	DG	255-104-60-255
616	7.0	4.0	dorsal ganglion	DG	255-104-60-255
617	9.0	5.0	antennal ganglia	AG	255-138-205-0
618	9.0	5.0	antennal ganglia	AG	255-138-205-0
619	19.0		None	None	None
620	9.0	5.0	antennal ganglia	AG	255-138-205-0
621	9.0	5.0	antennal ganglia	AG	255-138-205-0
622	9.0	5.0	antennal ganglia	AG	255-138-205-0
623	19.0		None	None	None
624	19.0		None	None	None
625	19.0		None	None	None
626	19.0		None	None	None
627	19.0		None	None	None
628	9.0	5.0	antennal ganglia	AG	255-138-205-0
