label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	cell_id	nucleus_id
477.0	202.64	155.84	51.2	201.92	150.0	43.2	220.4	155.92	51.8	105.0	1667.0	0.0
479.0	202.32	148.4	51.0	199.04	143.76	36.2	220.96	155.76	52.6	425.0	1667.0	0.0
481.0	203.36	142.96	47.1	198.0	142.64	40.6	205.84	152.08	51.9	199.0	2949.0	0.0
483.0	167.6	182.64	52.2	166.08	182.64	44.8	172.16	190.88	52.3	80.0	1667.0	0.0
485.0	166.8	184.24	50.6	165.12	182.32	41.4	170.08	191.04	51.6	95.0	1667.0	0.0
487.0	167.04	181.92	48.3	167.04	181.92	35.5	175.92	204.08	48.4	116.0	1667.0	0.0
489.0	172.56	172.08	47.5	164.4	170.96	43.5	173.68	186.24	51.9	243.0	1667.0	0.0
49.0	193.36	147.44	55.2	189.2	143.76	48.3	196.24	148.96	55.3	192.0	1667.0	0.0
491.0	169.84	191.84	43.4	165.68	187.36	42.5	170.56	198.56	46.5	95.0	3371.0	0.0
493.0	167.76	182.24	50.5	167.68	182.24	46.9	172.8	188.32	51.0	44.0	1667.0	0.0
495.0	173.2	186.56	54.0	167.84	184.08	44.7	176.32	187.84	54.1	101.0	1667.0	0.0
497.0	169.12	180.64	54.4	166.56	177.52	41.9	175.68	188.72	57.9	206.0	1667.0	0.0
499.0	168.64	183.6	52.3	166.56	183.44	45.9	176.0	194.8	52.9	79.0	1667.0	0.0
50.0	199.04	144.08	50.3	185.28	141.76	27.2	200.88	150.08	50.4	619.0	1667.0	0.0
501.0	166.48	179.44	46.8	161.76	178.96	45.1	175.92	200.4	50.4	207.0	1667.0	0.0
503.0	172.72	187.04	54.1	172.72	186.48	51.3	180.48	197.28	54.2	82.0	1667.0	0.0
505.0	166.16	186.0	51.8	164.32	186.0	45.4	172.24	198.56	51.9	177.0	1667.0	0.0
507.0	159.28	167.84	53.4	158.8	167.84	48.3	177.36	202.88	57.3	324.0	4374.0	0.0
509.0	174.48	182.08	51.7	170.96	180.56	49.5	177.04	205.84	56.9	181.0	1667.0	0.0
511.0	185.28	145.2	51.3	178.56	145.2	36.3	201.04	211.84	51.4	869.0	1667.0	0.0
513.0	185.6	186.0	48.1	176.24	182.72	48.1	191.44	199.92	55.8	176.0	1667.0	0.0
515.0	181.52	124.56	55.4	175.52	124.56	35.5	199.84	201.28	55.6	964.0	1667.0	0.0
517.0	198.64	184.32	59.9	176.16	179.36	41.9	198.72	221.68	60.0	918.0	1667.0	0.0
519.0	175.76	189.84	52.2	166.96	181.76	39.4	175.84	191.68	53.7	112.0	1667.0	0.0
52.0	201.44	138.32	56.8	184.4	135.28	24.1	202.88	152.56	57.2	702.0	1667.0	0.0
521.0	178.88	169.52	47.8	163.44	168.08	43.5	178.96	182.48	51.6	409.0	1667.0	0.0
523.0	184.4	184.24	56.4	173.28	178.32	46.1	185.28	201.44	59.0	417.0	1667.0	0.0
525.0	169.04	175.04	51.6	150.4	155.6	32.5	175.44	178.0	53.4	497.0	1667.0	0.0
527.0	144.56	166.8	67.5	142.96	154.56	59.9	154.08	166.88	71.4	87.0	5500.0	0.0
529.0	154.64	158.0	74.6	143.12	153.92	61.7	156.0	163.92	80.0	260.0	7587.0	0.0
531.0	154.72	154.16	60.4	144.0	144.96	60.4	154.88	164.24	76.3	266.0	5448.0	0.0
532.0	142.72	185.52	72.1	125.68	185.52	70.4	149.36	226.08	76.3	105.0	4374.0	0.0
